TeslaModel,HomeChargerAvailable,Segment,ChargingFrequency,LocationPreference,PriceSensitivity,SpeedPreference,ChosenStationPrice,ChosenStationSpeed,ChosenStationLocation,ConjointPrice,ConjointSpeed,ConjointPerks,PlanType,UsageLimit,AdSpend,StationUsage,Revenue,CampaignType,FirstTimeUser,DiscountApplied,UserLocation
Model 3,Yes,Long-Distance Traveler,1,Supercharger - Highway,High,Fast,0.28,Fast,Destination,0.45,Fast,None,Pay-Per-Use,Up to 200 kWh,4153.92,17,47.6,None,No,No,Suburban
Model Y,Yes,Long-Distance Traveler,2,Destination Charger,High,Fast,0.32,Fast,Highway,0.35,Fast,Lounge Access,Monthly Subscription,Up to 200 kWh,1937.85,18,57.6,None,No,No,Urban
Model 3,No,Urban Commuter,4,Home,Medium,Fast,0.4,Fast,Highway,0.25,Fast,App Navigation Integration,Unlimited Fast-Charging,50 kWh/month,1236,20,80,Loyalty Program,No,No,Rural
Model Y,Yes,Urban Commuter,1,Home,Low,Fast,0.43,Fast,Destination,0.25,Fast,Nearby Amenities,Pay-Per-Use,Up to 200 kWh,2461.32,17,73.1,Referral,No,No,Highway Region
Model Y,Yes,Long-Distance Traveler,3,Home,High,Moderate,0.28,Fast,Urban,0.25,Fast,App Navigation Integration,Monthly Subscription,50 kWh/month,2535.24,26,72.8,Referral,No,No,Rural
Model 3,Yes,Long-Distance Traveler,3,Home,Low,Fast,0.4,Fast,Highway,0.45,Fast,Nearby Amenities,Pay-Per-Use,Unlimited,572.49,21,84,None,Yes,Yes,Rural
Model Y,Yes,Long-Distance Traveler,2,Home,Medium,Moderate,0.39,Fast,Destination,0.45,Fast,App Navigation Integration,Unlimited Fast-Charging,50 kWh/month,1026.7,22,85.8,Discount,Yes,Yes,Urban
Model Y,No,Long-Distance Traveler,4,Supercharger - Urban,Medium,Moderate,0.38,Fast,Highway,0.35,Fast,Lounge Access,Pay-Per-Use,Unlimited,1332.17,15,57,Discount,No,No,Urban
Model S,Yes,Long-Distance Traveler,2,Supercharger - Highway,Medium,Fast,0.42,Fast,Urban,0.25,Fast,None,Pay-Per-Use,Up to 200 kWh,1011.14,11,46.2,Referral,No,No,Rural
Model Y,Yes,Urban Commuter,1,Home,Low,Moderate,0.46,Fast,Urban,0.35,Fast,App Navigation Integration,Monthly Subscription,Up to 200 kWh,2036.87,18,82.8,None,No,No,Suburban
Model 3,Yes,Urban Commuter,1,Supercharger - Highway,High,Moderate,0.33,Fast,Highway,0.35,Fast,Nearby Amenities,Unlimited Fast-Charging,Up to 200 kWh,4840.8,28,92.4,None,Yes,Yes,Highway Region
Model Y,Yes,Urban Commuter,2,Supercharger - Highway,High,Moderate,0.47,Fast,Urban,0.25,Fast,App Navigation Integration,Monthly Subscription,50 kWh/month,2791.5,32,150.4,None,No,No,Suburban
Model 3,Yes,Long-Distance Traveler,3,Supercharger - Urban,Medium,Fast,0.29,Fast,Destination,0.35,Fast,Lounge Access,Monthly Subscription,Unlimited,3324,17,49.3,Loyalty Program,Yes,Yes,Suburban
Model Y,Yes,Urban Commuter,3,Home,High,Moderate,0.29,Fast,Destination,0.45,Fast,Lounge Access,Pay-Per-Use,Unlimited,2103.74,26,75.4,Referral,Yes,Yes,Highway Region
Model 3,Yes,Urban Commuter,1,Supercharger - Urban,Medium,Moderate,0.32,Fast,Highway,0.35,Fast,App Navigation Integration,Unlimited Fast-Charging,Up to 200 kWh,1955.69,28,89.6,Referral,No,No,Urban
Model S,No,Urban Commuter,1,Home,Low,Fast,0.28,Fast,Urban,0.25,Fast,None,Monthly Subscription,Up to 200 kWh,604.16,24,67.2,Discount,No,No,Suburban
Model Y,Yes,Urban Commuter,3,Supercharger - Urban,Medium,Fast,0.31,Fast,Destination,0.45,Fast,Nearby Amenities,Unlimited Fast-Charging,Unlimited,2751.5,16,49.6,Discount,Yes,Yes,Urban
Model S,Yes,Urban Commuter,1,Supercharger - Highway,Low,Moderate,0.28,Fast,Destination,0.45,Fast,Lounge Access,Monthly Subscription,50 kWh/month,2676.24,28,78.4,Referral,Yes,No,Highway Region
Model 3,No,Long-Distance Traveler,5,Home,Medium,Fast,0.46,Fast,Destination,0.35,Fast,Lounge Access,Pay-Per-Use,Up to 200 kWh,1210.24,21,96.6,Referral,No,No,Suburban
Model Y,Yes,Urban Commuter,2,Destination Charger,High,Moderate,0.28,Fast,Highway,0.35,Fast,App Navigation Integration,Monthly Subscription,50 kWh/month,3939.46,19,53.2,Discount,No,No,Urban
Model Y,Yes,Long-Distance Traveler,1,Supercharger - Highway,High,Moderate,0.44,Fast,Highway,0.45,Fast,Lounge Access,Monthly Subscription,Up to 200 kWh,2717.03,23,101.2,Referral,No,No,Urban
Model 3,Yes,Long-Distance Traveler,2,Destination Charger,Medium,Moderate,0.26,Fast,Destination,0.35,Fast,Lounge Access,Monthly Subscription,Up to 200 kWh,2025.47,20,52,Discount,No,No,Suburban
Model X,Yes,Long-Distance Traveler,1,Supercharger - Highway,High,Fast,0.49,Fast,Destination,0.25,Fast,Nearby Amenities,Unlimited Fast-Charging,50 kWh/month,1161.09,22,107.8,Referral,No,No,Highway Region
Model 3,Yes,Long-Distance Traveler,1,Supercharger - Urban,High,Moderate,0.43,Fast,Urban,0.35,Fast,None,Pay-Per-Use,50 kWh/month,2984.72,17,73.1,Loyalty Program,Yes,Yes,Rural
Model 3,No,Long-Distance Traveler,3,Home,High,Fast,0.25,Fast,Urban,0.35,Fast,Nearby Amenities,Unlimited Fast-Charging,50 kWh/month,3887.68,25,62.5,Loyalty Program,Yes,Yes,Urban
Model 3,Yes,Urban Commuter,2,Supercharger - Highway,Low,Fast,0.44,Fast,Urban,0.45,Fast,None,Monthly Subscription,50 kWh/month,1769,28,123.2,None,No,No,Highway Region
Model X,Yes,Urban Commuter,1,Supercharger - Urban,High,Moderate,0.38,Fast,Highway,0.35,Fast,Nearby Amenities,Pay-Per-Use,Unlimited,1484.57,24,91.2,Referral,Yes,Yes,Suburban
Model Y,No,Long-Distance Traveler,4,Home,Low,Fast,0.44,Fast,Destination,0.35,Fast,App Navigation Integration,Unlimited Fast-Charging,Unlimited,2848.71,19,83.6,Discount,No,No,Urban
Model Y,Yes,Long-Distance Traveler,3,Home,Medium,Fast,0.38,Fast,Highway,0.35,Fast,Lounge Access,Monthly Subscription,Up to 200 kWh,1199.04,16,60.8,Referral,No,No,Urban
Model Y,Yes,Long-Distance Traveler,3,Supercharger - Highway,High,Fast,0.41,Fast,Destination,0.25,Fast,None,Pay-Per-Use,Up to 200 kWh,3499.76,17,69.7,Referral,No,No,Urban
Model S,Yes,Urban Commuter,2,Home,High,Fast,0.45,Fast,Urban,0.35,Fast,App Navigation Integration,Pay-Per-Use,Up to 200 kWh,3224.05,20,90,None,No,No,Highway Region
Model 3,No,Long-Distance Traveler,5,Supercharger - Highway,High,Fast,0.35,Fast,Urban,0.25,Fast,Lounge Access,Monthly Subscription,Unlimited,891.87,18,63,Discount,No,No,Urban
Model S,Yes,Urban Commuter,3,Home,Medium,Moderate,0.25,Fast,Urban,0.25,Fast,Lounge Access,Pay-Per-Use,50 kWh/month,664.34,27,67.5,Referral,Yes,No,Urban
Model 3,Yes,Long-Distance Traveler,3,Destination Charger,Low,Fast,0.46,Fast,Urban,0.25,Fast,Lounge Access,Pay-Per-Use,Up to 200 kWh,3291.3,21,96.6,Discount,No,No,Suburban
Model 3,Yes,Urban Commuter,1,Supercharger - Urban,Low,Moderate,0.35,Fast,Destination,0.25,Fast,Nearby Amenities,Unlimited Fast-Charging,Unlimited,1824.32,20,70,Referral,Yes,No,Urban
Model Y,Yes,Long-Distance Traveler,3,Destination Charger,High,Moderate,0.37,Fast,Urban,0.45,Fast,App Navigation Integration,Pay-Per-Use,Up to 200 kWh,889.01,23,85.1,None,No,No,Highway Region
Model 3,Yes,Urban Commuter,3,Supercharger - Highway,Medium,Moderate,0.25,Fast,Destination,0.25,Fast,App Navigation Integration,Unlimited Fast-Charging,Unlimited,3917.43,23,57.5,Discount,No,No,Suburban
Model S,Yes,Long-Distance Traveler,2,Destination Charger,Medium,Moderate,0.37,Fast,Destination,0.35,Fast,Lounge Access,Unlimited Fast-Charging,50 kWh/month,1913.2,20,74,Referral,Yes,Yes,Rural
Model S,No,Urban Commuter,6,Supercharger - Highway,Medium,Moderate,0.5,Fast,Highway,0.25,Fast,None,Unlimited Fast-Charging,Unlimited,2568.2,19,95,Loyalty Program,No,No,Suburban
Model Y,Yes,Urban Commuter,1,Home,Medium,Moderate,0.32,Fast,Urban,0.35,Fast,App Navigation Integration,Unlimited Fast-Charging,50 kWh/month,1565.66,17,54.4,Discount,Yes,No,Urban
Model X,Yes,Urban Commuter,1,Home,Medium,Fast,0.35,Fast,Urban,0.25,Fast,Nearby Amenities,Pay-Per-Use,Up to 200 kWh,3322.93,19,66.5,None,Yes,Yes,Rural
Model S,No,Urban Commuter,3,Supercharger - Highway,Low,Fast,0.42,Fast,Highway,0.45,Fast,None,Pay-Per-Use,50 kWh/month,1856.7,16,67.2,Loyalty Program,No,No,Suburban
Model S,No,Urban Commuter,1,Destination Charger,Low,Fast,0.45,Fast,Destination,0.25,Fast,None,Unlimited Fast-Charging,Unlimited,4856.09,12,54,Discount,Yes,Yes,Urban
Model X,Yes,Urban Commuter,1,Home,Low,Moderate,0.35,Fast,Urban,0.25,Fast,None,Pay-Per-Use,Up to 200 kWh,3663.26,23,80.5,Discount,Yes,No,Suburban
Model S,Yes,Urban Commuter,3,Supercharger - Urban,High,Fast,0.33,Fast,Destination,0.45,Fast,None,Unlimited Fast-Charging,Up to 200 kWh,1115.25,23,75.9,Discount,No,No,Highway Region
Model Y,Yes,Long-Distance Traveler,3,Home,Medium,Fast,0.48,Fast,Highway,0.25,Fast,App Navigation Integration,Unlimited Fast-Charging,Unlimited,2375.13,30,144,Discount,No,No,Urban
Model X,No,Long-Distance Traveler,2,Supercharger - Urban,High,Fast,0.42,Fast,Destination,0.35,Fast,Lounge Access,Unlimited Fast-Charging,50 kWh/month,2234.39,13,54.6,Referral,Yes,No,Highway Region
Model S,No,Long-Distance Traveler,3,Destination Charger,Medium,Moderate,0.28,Fast,Urban,0.25,Fast,None,Monthly Subscription,Unlimited,2904.11,16,44.8,Referral,No,No,Urban
Model S,Yes,Long-Distance Traveler,2,Supercharger - Urban,Low,Fast,0.27,Fast,Destination,0.25,Fast,Nearby Amenities,Pay-Per-Use,50 kWh/month,4288.69,8,21.6,Discount,No,No,Highway Region
Model Y,No,Long-Distance Traveler,5,Supercharger - Urban,High,Moderate,0.37,Fast,Destination,0.25,Fast,Nearby Amenities,Pay-Per-Use,50 kWh/month,3125.4,16,59.2,None,Yes,No,Rural
Model 3,Yes,Urban Commuter,1,Supercharger - Urban,Low,Fast,0.31,Fast,Urban,0.45,Fast,Lounge Access,Unlimited Fast-Charging,Up to 200 kWh,777.01,26,80.6,Referral,No,No,Highway Region
Model 3,Yes,Urban Commuter,3,Supercharger - Urban,Medium,Moderate,0.31,Fast,Urban,0.25,Fast,App Navigation Integration,Pay-Per-Use,50 kWh/month,3449.37,14,43.4,Discount,No,No,Suburban
Model Y,Yes,Urban Commuter,2,Home,Medium,Moderate,0.47,Fast,Destination,0.25,Fast,Lounge Access,Unlimited Fast-Charging,Up to 200 kWh,537.19,17,79.9,Discount,No,No,Urban
Model Y,No,Urban Commuter,2,Supercharger - Urban,Medium,Moderate,0.27,Fast,Destination,0.35,Fast,None,Pay-Per-Use,Unlimited,4009.82,18,48.6,None,No,No,Suburban
Model Y,Yes,Urban Commuter,3,Home,Low,Fast,0.43,Fast,Highway,0.25,Fast,App Navigation Integration,Unlimited Fast-Charging,Unlimited,3499.86,18,77.4,None,Yes,Yes,Highway Region
Model Y,No,Long-Distance Traveler,6,Supercharger - Urban,Medium,Fast,0.32,Fast,Urban,0.25,Fast,App Navigation Integration,Unlimited Fast-Charging,Up to 200 kWh,1889.54,13,41.6,None,No,No,Urban
Model 3,No,Long-Distance Traveler,7,Supercharger - Highway,Low,Moderate,0.44,Fast,Destination,0.25,Fast,None,Monthly Subscription,Up to 200 kWh,1815.99,17,74.8,Loyalty Program,No,No,Highway Region
Model S,No,Long-Distance Traveler,3,Destination Charger,High,Fast,0.43,Fast,Urban,0.25,Fast,Nearby Amenities,Unlimited Fast-Charging,50 kWh/month,4092.23,16,68.8,Discount,Yes,Yes,Rural
Model Y,Yes,Long-Distance Traveler,3,Supercharger - Urban,Medium,Moderate,0.25,Fast,Highway,0.35,Fast,None,Monthly Subscription,Up to 200 kWh,4025.02,30,75,None,Yes,Yes,Rural
Model 3,Yes,Urban Commuter,2,Supercharger - Highway,Medium,Moderate,0.38,Fast,Destination,0.35,Fast,Lounge Access,Pay-Per-Use,Unlimited,2085.36,18,68.4,Discount,No,No,Rural
Model 3,Yes,Urban Commuter,2,Supercharger - Urban,Medium,Fast,0.28,Fast,Destination,0.45,Fast,None,Pay-Per-Use,Up to 200 kWh,1845.26,25,70,Referral,No,No,Highway Region
Model Y,Yes,Urban Commuter,1,Supercharger - Urban,High,Fast,0.47,Fast,Destination,0.25,Fast,Nearby Amenities,Monthly Subscription,Up to 200 kWh,3019.21,23,108.1,Discount,No,No,Highway Region
Model S,Yes,Long-Distance Traveler,1,Supercharger - Urban,Medium,Fast,0.47,Fast,Urban,0.45,Fast,None,Pay-Per-Use,Up to 200 kWh,537.65,26,122.2,Discount,No,No,Rural
Model 3,No,Urban Commuter,6,Supercharger - Highway,Low,Moderate,0.35,Fast,Highway,0.45,Fast,Lounge Access,Monthly Subscription,50 kWh/month,872,24,84,Loyalty Program,No,No,Highway Region
Model S,Yes,Long-Distance Traveler,2,Destination Charger,Low,Moderate,0.36,Fast,Urban,0.25,Fast,Lounge Access,Pay-Per-Use,Up to 200 kWh,1067.76,20,72,Referral,No,No,Suburban
Model 3,Yes,Urban Commuter,2,Supercharger - Highway,Medium,Fast,0.33,Fast,Destination,0.35,Fast,Nearby Amenities,Monthly Subscription,50 kWh/month,1334.35,21,69.3,Referral,Yes,Yes,Highway Region
Model S,Yes,Urban Commuter,1,Destination Charger,Medium,Moderate,0.43,Fast,Highway,0.35,Fast,Lounge Access,Monthly Subscription,50 kWh/month,2804.08,24,103.2,Loyalty Program,Yes,Yes,Suburban
Model S,Yes,Long-Distance Traveler,1,Supercharger - Urban,High,Fast,0.34,Fast,Destination,0.25,Fast,Lounge Access,Unlimited Fast-Charging,Up to 200 kWh,4965.09,22,74.8,None,No,No,Rural
Model S,Yes,Urban Commuter,2,Home,High,Moderate,0.32,Fast,Destination,0.25,Fast,None,Pay-Per-Use,50 kWh/month,3436.76,25,80,None,No,No,Highway Region
Model X,Yes,Urban Commuter,1,Supercharger - Urban,High,Fast,0.36,Fast,Urban,0.35,Fast,App Navigation Integration,Unlimited Fast-Charging,Up to 200 kWh,775.84,20,72,Discount,No,No,Rural
Model X,No,Long-Distance Traveler,6,Destination Charger,Medium,Fast,0.27,Fast,Destination,0.25,Fast,Lounge Access,Monthly Subscription,Unlimited,2865.11,23,62.1,Loyalty Program,No,No,Urban
Model 3,Yes,Urban Commuter,2,Supercharger - Highway,High,Moderate,0.44,Fast,Highway,0.25,Fast,Lounge Access,Unlimited Fast-Charging,Unlimited,2734.9,23,101.2,None,No,No,Highway Region
Model Y,No,Long-Distance Traveler,2,Supercharger - Urban,High,Fast,0.25,Fast,Destination,0.25,Fast,Nearby Amenities,Monthly Subscription,50 kWh/month,1148.76,24,60,Referral,Yes,No,Highway Region
Model 3,No,Urban Commuter,6,Supercharger - Highway,Low,Fast,0.41,Fast,Destination,0.35,Fast,Nearby Amenities,Pay-Per-Use,Unlimited,4641.23,17,69.7,Loyalty Program,No,No,Rural
Model 3,Yes,Urban Commuter,2,Supercharger - Highway,High,Moderate,0.3,Fast,Urban,0.45,Fast,None,Pay-Per-Use,Up to 200 kWh,2483.44,9,27,None,No,No,Rural
Model Y,No,Urban Commuter,5,Supercharger - Highway,Low,Fast,0.31,Fast,Highway,0.45,Fast,None,Pay-Per-Use,50 kWh/month,4975.52,23,71.3,Referral,Yes,No,Rural
Model 3,Yes,Urban Commuter,3,Supercharger - Urban,Low,Moderate,0.41,Fast,Urban,0.25,Fast,Lounge Access,Monthly Subscription,Up to 200 kWh,2390.33,17,69.7,Loyalty Program,No,No,Urban
Model Y,No,Urban Commuter,4,Supercharger - Highway,High,Fast,0.5,Fast,Destination,0.35,Fast,App Navigation Integration,Unlimited Fast-Charging,50 kWh/month,3235.81,20,100,Discount,No,No,Urban
Model S,Yes,Urban Commuter,3,Supercharger - Highway,Low,Moderate,0.44,Fast,Urban,0.25,Fast,App Navigation Integration,Pay-Per-Use,50 kWh/month,971.43,17,74.8,Discount,No,No,Rural
Model Y,No,Urban Commuter,1,Supercharger - Urban,Medium,Fast,0.31,Fast,Urban,0.35,Fast,None,Monthly Subscription,50 kWh/month,2544.03,24,74.4,Referral,Yes,Yes,Highway Region
Model S,No,Urban Commuter,1,Supercharger - Highway,Medium,Fast,0.29,Fast,Urban,0.25,Fast,Nearby Amenities,Unlimited Fast-Charging,50 kWh/month,1574.45,19,55.1,None,Yes,No,Highway Region
Model Y,No,Long-Distance Traveler,1,Supercharger - Urban,High,Fast,0.47,Fast,Urban,0.35,Fast,Lounge Access,Monthly Subscription,Unlimited,4260.04,17,79.9,None,No,No,Rural
Model 3,No,Long-Distance Traveler,6,Destination Charger,Medium,Fast,0.36,Fast,Destination,0.35,Fast,Lounge Access,Monthly Subscription,Unlimited,4027.64,17,61.2,Loyalty Program,No,No,Suburban
Model Y,Yes,Urban Commuter,1,Destination Charger,Low,Moderate,0.28,Fast,Destination,0.45,Fast,App Navigation Integration,Pay-Per-Use,Unlimited,4208.81,22,61.6,Referral,No,No,Urban
Model S,Yes,Urban Commuter,3,Destination Charger,Medium,Moderate,0.47,Fast,Highway,0.25,Fast,None,Monthly Subscription,50 kWh/month,3756.24,26,122.2,None,No,No,Urban
Model 3,Yes,Long-Distance Traveler,1,Supercharger - Highway,High,Moderate,0.45,Fast,Urban,0.45,Fast,App Navigation Integration,Monthly Subscription,Unlimited,4247.07,19,85.5,Discount,No,No,Suburban
Model Y,Yes,Urban Commuter,2,Home,High,Moderate,0.5,Fast,Urban,0.45,Fast,App Navigation Integration,Unlimited Fast-Charging,50 kWh/month,1403.73,23,115,Referral,Yes,No,Rural
Model 3,Yes,Urban Commuter,3,Home,Low,Moderate,0.48,Fast,Highway,0.35,Fast,None,Pay-Per-Use,Unlimited,2534.2,15,72,Discount,No,No,Highway Region
Model X,Yes,Long-Distance Traveler,3,Supercharger - Highway,High,Moderate,0.46,Fast,Urban,0.25,Fast,Nearby Amenities,Monthly Subscription,50 kWh/month,3613.31,16,73.6,Referral,Yes,Yes,Highway Region
Model X,No,Urban Commuter,2,Home,Medium,Moderate,0.26,Fast,Highway,0.35,Fast,Lounge Access,Monthly Subscription,Unlimited,3368.27,23,59.8,Loyalty Program,No,No,Urban
Model 3,Yes,Urban Commuter,2,Supercharger - Urban,High,Fast,0.28,Fast,Destination,0.35,Fast,Nearby Amenities,Unlimited Fast-Charging,Unlimited,3723.6,19,53.2,None,Yes,No,Suburban
Model X,No,Long-Distance Traveler,2,Home,Low,Fast,0.39,Fast,Highway,0.35,Fast,None,Monthly Subscription,Unlimited,1509.16,30,117,None,No,No,Highway Region
Model 3,Yes,Urban Commuter,1,Supercharger - Highway,High,Fast,0.38,Fast,Urban,0.25,Fast,None,Monthly Subscription,50 kWh/month,942.96,22,83.6,None,Yes,Yes,Urban
Model Y,No,Urban Commuter,3,Supercharger - Highway,Medium,Fast,0.36,Fast,Highway,0.25,Fast,Lounge Access,Monthly Subscription,50 kWh/month,4625.63,15,54,Discount,No,No,Highway Region
Model S,No,Long-Distance Traveler,3,Supercharger - Urban,Low,Moderate,0.35,Fast,Destination,0.35,Fast,Nearby Amenities,Monthly Subscription,Unlimited,3020.77,20,70,None,Yes,Yes,Highway Region
Model 3,Yes,Urban Commuter,1,Destination Charger,Medium,Moderate,0.36,Fast,Urban,0.25,Fast,Lounge Access,Monthly Subscription,50 kWh/month,1192.22,17,61.2,Referral,No,No,Highway Region
Model Y,Yes,Long-Distance Traveler,2,Supercharger - Highway,Low,Moderate,0.39,Fast,Destination,0.35,Fast,App Navigation Integration,Unlimited Fast-Charging,Up to 200 kWh,4070.46,16,62.4,Discount,Yes,No,Urban
Model Y,No,Urban Commuter,2,Supercharger - Urban,High,Fast,0.25,Fast,Destination,0.25,Fast,App Navigation Integration,Monthly Subscription,Unlimited,4617.18,30,75,Loyalty Program,No,No,Suburban
Model 3,Yes,Urban Commuter,3,Home,Low,Moderate,0.32,Fast,Highway,0.25,Fast,App Navigation Integration,Monthly Subscription,Unlimited,1263.04,15,48,Discount,No,No,Rural
Model X,Yes,Long-Distance Traveler,1,Home,Low,Fast,0.38,Fast,Destination,0.45,Fast,Nearby Amenities,Monthly Subscription,Up to 200 kWh,4178.36,23,87.4,Loyalty Program,No,No,Suburban
Model 3,Yes,Long-Distance Traveler,3,Supercharger - Urban,High,Moderate,0.43,Fast,Urban,0.35,Fast,App Navigation Integration,Monthly Subscription,50 kWh/month,4699.51,14,60.2,Discount,No,No,Highway Region
Model S,Yes,Urban Commuter,1,Supercharger - Urban,Medium,Moderate,0.29,Fast,Destination,0.45,Fast,Lounge Access,Pay-Per-Use,50 kWh/month,4722.63,22,63.8,None,No,No,Suburban
Model 3,Yes,Long-Distance Traveler,2,Supercharger - Highway,High,Moderate,0.39,Fast,Destination,0.45,Fast,Nearby Amenities,Pay-Per-Use,50 kWh/month,4613.7,18,70.2,Loyalty Program,No,No,Highway Region
Model 3,Yes,Long-Distance Traveler,3,Home,Low,Moderate,0.43,Fast,Highway,0.35,Fast,Lounge Access,Pay-Per-Use,Unlimited,2958.89,16,68.8,None,No,No,Urban
Model 3,Yes,Urban Commuter,2,Supercharger - Urban,High,Fast,0.36,Fast,Destination,0.35,Fast,None,Pay-Per-Use,Unlimited,2102.95,31,111.6,Discount,No,No,Urban
Model S,Yes,Urban Commuter,3,Home,Low,Fast,0.26,Fast,Highway,0.25,Fast,Nearby Amenities,Unlimited Fast-Charging,Unlimited,532.73,24,62.4,Loyalty Program,Yes,Yes,Urban
Model Y,No,Urban Commuter,6,Supercharger - Urban,High,Moderate,0.36,Fast,Highway,0.35,Fast,Lounge Access,Pay-Per-Use,Unlimited,774.11,21,75.6,Referral,No,No,Highway Region
Model Y,Yes,Long-Distance Traveler,1,Home,High,Fast,0.32,Fast,Urban,0.45,Fast,Lounge Access,Unlimited Fast-Charging,Unlimited,2429.78,24,76.8,Referral,Yes,Yes,Suburban
Model X,No,Long-Distance Traveler,2,Destination Charger,Medium,Moderate,0.48,Fast,Urban,0.45,Fast,Nearby Amenities,Pay-Per-Use,50 kWh/month,2296.97,19,91.2,Discount,No,No,Rural
Model 3,Yes,Long-Distance Traveler,1,Supercharger - Highway,Low,Moderate,0.28,Fast,Urban,0.35,Fast,None,Unlimited Fast-Charging,Up to 200 kWh,1331.21,20,56,Loyalty Program,Yes,Yes,Rural
Model 3,Yes,Long-Distance Traveler,1,Home,Medium,Moderate,0.41,Fast,Urban,0.45,Fast,Nearby Amenities,Pay-Per-Use,50 kWh/month,2279.66,13,53.3,Referral,No,No,Urban
Model Y,Yes,Urban Commuter,2,Destination Charger,Low,Moderate,0.26,Fast,Highway,0.25,Fast,App Navigation Integration,Monthly Subscription,50 kWh/month,1285.93,22,57.2,None,Yes,Yes,Rural
Model X,Yes,Long-Distance Traveler,1,Home,High,Fast,0.36,Fast,Destination,0.45,Fast,App Navigation Integration,Pay-Per-Use,Unlimited,4319.56,20,72,None,No,No,Highway Region
Model S,Yes,Urban Commuter,1,Home,Low,Moderate,0.39,Fast,Urban,0.25,Fast,None,Pay-Per-Use,Up to 200 kWh,1841.88,13,50.7,Discount,No,No,Suburban
Model Y,Yes,Long-Distance Traveler,3,Destination Charger,Medium,Moderate,0.32,Fast,Urban,0.45,Fast,Lounge Access,Pay-Per-Use,Up to 200 kWh,3193.54,17,54.4,None,No,No,Rural
Model Y,Yes,Urban Commuter,2,Home,Medium,Fast,0.36,Fast,Urban,0.25,Fast,Lounge Access,Monthly Subscription,50 kWh/month,2762.79,24,86.4,None,Yes,No,Rural
Model Y,Yes,Urban Commuter,2,Home,Medium,Moderate,0.29,Fast,Destination,0.25,Fast,Lounge Access,Unlimited Fast-Charging,Up to 200 kWh,733.47,21,60.9,None,No,No,Suburban
Model X,Yes,Urban Commuter,3,Supercharger - Highway,Low,Fast,0.33,Fast,Urban,0.35,Fast,Nearby Amenities,Unlimited Fast-Charging,50 kWh/month,4740.05,19,62.7,Referral,No,No,Rural
Model X,Yes,Long-Distance Traveler,3,Destination Charger,Medium,Moderate,0.41,Fast,Destination,0.25,Fast,Nearby Amenities,Monthly Subscription,50 kWh/month,2872.52,22,90.2,Loyalty Program,No,No,Suburban
Model 3,Yes,Urban Commuter,1,Destination Charger,Medium,Moderate,0.33,Fast,Highway,0.35,Fast,None,Pay-Per-Use,50 kWh/month,1962.76,25,82.5,Discount,Yes,Yes,Highway Region
Model Y,No,Urban Commuter,3,Supercharger - Urban,Medium,Moderate,0.47,Fast,Highway,0.45,Fast,App Navigation Integration,Pay-Per-Use,50 kWh/month,1211.57,16,75.2,Loyalty Program,No,No,Highway Region
Model Y,Yes,Long-Distance Traveler,1,Home,High,Moderate,0.41,Fast,Highway,0.45,Fast,Lounge Access,Pay-Per-Use,Unlimited,2023.37,25,102.5,Loyalty Program,No,No,Highway Region
Model S,Yes,Urban Commuter,3,Supercharger - Highway,High,Moderate,0.36,Fast,Destination,0.45,Fast,App Navigation Integration,Unlimited Fast-Charging,Up to 200 kWh,592.3,23,82.8,Loyalty Program,Yes,Yes,Urban
Model S,No,Long-Distance Traveler,1,Home,Low,Moderate,0.26,Fast,Urban,0.25,Fast,Nearby Amenities,Unlimited Fast-Charging,Unlimited,2136.01,25,65,Referral,Yes,No,Highway Region
Model 3,Yes,Long-Distance Traveler,2,Home,Low,Fast,0.37,Fast,Urban,0.45,Fast,Nearby Amenities,Monthly Subscription,Unlimited,2891.69,32,118.4,None,No,No,Rural
Model Y,Yes,Urban Commuter,1,Supercharger - Urban,Medium,Moderate,0.44,Fast,Urban,0.45,Fast,Nearby Amenities,Monthly Subscription,Unlimited,4423.4,19,83.6,Discount,No,No,Urban
Model Y,No,Urban Commuter,7,Home,High,Fast,0.32,Fast,Urban,0.35,Fast,App Navigation Integration,Unlimited Fast-Charging,50 kWh/month,3593.18,19,60.8,Loyalty Program,Yes,Yes,Urban
Model S,Yes,Long-Distance Traveler,2,Supercharger - Highway,Medium,Fast,0.45,Fast,Urban,0.35,Fast,None,Pay-Per-Use,50 kWh/month,1002.12,21,94.5,None,No,No,Urban
Model 3,Yes,Urban Commuter,1,Supercharger - Highway,Medium,Moderate,0.31,Fast,Destination,0.45,Fast,None,Pay-Per-Use,Unlimited,1164.86,22,68.2,Referral,Yes,No,Highway Region
Model 3,Yes,Long-Distance Traveler,1,Supercharger - Urban,High,Fast,0.46,Fast,Highway,0.45,Fast,Nearby Amenities,Pay-Per-Use,Unlimited,2426.56,23,105.8,Loyalty Program,No,No,Urban
Model Y,Yes,Long-Distance Traveler,2,Home,High,Moderate,0.27,Fast,Urban,0.25,Fast,Lounge Access,Pay-Per-Use,Up to 200 kWh,1380.68,15,40.5,None,No,No,Highway Region
Model Y,Yes,Long-Distance Traveler,2,Supercharger - Highway,High,Fast,0.47,Fast,Highway,0.25,Fast,App Navigation Integration,Monthly Subscription,Unlimited,625.32,25,117.5,Referral,Yes,Yes,Highway Region
